time,satsPerByte
2020-05-22 12:00:00,120
2020-05-23 00:00:00,89.1
2020-05-23 12:00:00,94.5
2020-05-24 00:00:00,47
2020-05-24 12:00:00,62.1
2020-05-25 00:00:00,56.1
2020-05-25 12:00:00,74.3
2020-05-26 00:00:00,53
2020-05-26 12:00:00,50.4
2020-05-27 00:00:00,43.4
2020-05-27 12:00:00,47.4
2020-05-28 00:00:00,41.2
2020-05-28 12:00:00,80.9
2020-05-29 00:00:00,58
2020-05-29 12:00:00,94.7
2020-05-30 00:00:00,20
2020-05-30 12:00:00,37.4
2020-05-31 00:00:00,19.2
2020-05-31 12:00:00,33.5
2020-06-01 00:00:00,45.2
2020-06-01 12:00:00,57.3
2020-06-02 00:00:00,50.3
2020-06-02 12:00:00,77.6
2020-06-03 00:00:00,50.7
2020-06-03 12:00:00,61.8
2020-06-04 00:00:00,36.3
2020-06-04 12:00:00,48
2020-06-05 00:00:00,23.1
2020-06-05 12:00:00,29.7
2020-06-06 00:00:00,9.81
2020-06-06 12:00:00,17.1
2020-06-07 00:00:00,4.67
2020-06-07 12:00:00,16
2020-06-08 00:00:00,12.6
2020-06-08 12:00:00,27.2
2020-06-09 00:00:00,17.4
2020-06-09 12:00:00,22.6
2020-06-10 00:00:00,14.5
2020-06-10 12:00:00,25.6
2020-06-11 00:00:00,20.8
2020-06-11 12:00:00,22.1
2020-06-12 00:00:00,14.8
2020-06-12 12:00:00,20.4
2020-06-13 00:00:00,10.1
2020-06-13 12:00:00,11.8
2020-06-14 00:00:00,4.86
2020-06-14 12:00:00,7
2020-06-15 00:00:00,9.72
2020-06-15 12:00:00,33.7
2020-06-16 00:00:00,27
2020-06-16 12:00:00,39.6
2020-06-17 00:00:00,34.3
2020-06-17 12:00:00,31.5
2020-06-18 00:00:00,24.5
2020-06-18 12:00:00,44.6
2020-06-19 00:00:00,32.9
2020-06-19 12:00:00,32.8
2020-06-20 00:00:00,19.4
2020-06-20 12:00:00,20
2020-06-21 00:00:00,8.64
2020-06-21 12:00:00,15.5
2020-06-22 00:00:00,13.5
2020-06-22 12:00:00,26.3
2020-06-23 00:00:00,19.4
2020-06-23 12:00:00,29.3
2020-06-24 00:00:00,28.5
2020-06-24 12:00:00,28.6
2020-06-25 00:00:00,26.7
2020-06-25 12:00:00,27.9
2020-06-26 00:00:00,18.8
2020-06-26 12:00:00,18.9
2020-06-27 00:00:00,13.8
2020-06-27 12:00:00,14.8
2020-06-28 00:00:00,8.79
2020-06-28 12:00:00,11.9
2020-06-29 00:00:00,12.8
2020-06-29 12:00:00,24.5
2020-06-30 00:00:00,16.9
2020-06-30 12:00:00,36.1
2020-07-01 00:00:00,29.6
2020-07-01 12:00:00,47.6
2020-07-02 00:00:00,25
2020-07-02 12:00:00,47.4
2020-07-03 00:00:00,28.2
